DEPARTAMENTO,PROVINCIA,Diagnóstico,Producto,Cat_terapeutica,IPRESS,SECTOR,CATEGORIA,Prom_atendidos
LIMA,LIMA,Retinopatía diabética (EMD),VABYSMO,Oftalmológico,HOSPITAL NACIONAL ARZOBISPO LOAYZA,MINSA,III-1,48.6
LIMA,LIMA,"Neoplasia maligna de la mama, parte no especificada",HERCEPTIN,Antineoplásico,HOSPITAL NACIONAL ARZOBISPO LOAYZA,MINSA,III-1,27.2
CALLAO,CALLAO,"Asma, no especificada",XOLAIR,Inmunomodulador,HOSPITAL NAVAL,SANIDAD DE LA MARINA DE GUERRA DEL PERU,III-1,103.0
LA LIBERTAD,TRUJILLO,Enfermedad de Parkinson,MADOPAR,Sistema Nervioso,FLORENCIA DE MORA,ESSALUD,II-E,26.8
LAMBAYEQUE,CHICLAYO,"Asma, no especificada",XOLAIR,Inmunomodulador,HOSPITAL REGIONAL DOCENTE LAS MERCEDES,GOBIERNO REGIONAL,II-2,2.3
LAMBAYEQUE,CHICLAYO,"Pólipo nasal, no especificado",XOLAIR,Inmunomodulador,HOSPITAL REGIONAL DOCENTE LAS MERCEDES,GOBIERNO REGIONAL,II-2,1.2
LA LIBERTAD,VIRU,Retinopatía diabética (EMD),VABYSMO,Oftalmológico,PUENTE CHAO,GOBIERNO REGIONAL,I-4,2.3
LA LIBERTAD,TRUJILLO,"Asma, no especificada",XOLAIR,Inmunomodulador,PESQUEDA III,GOBIERNO REGIONAL,I-2,2.0
LIMA,LIMA,"Neoplasia maligna de los bronquios o del pulmón, parte no especificada",AVASTIN,Antineoplásico,HOSPITAL NACIONAL ARZOBISPO LOAYZA,MINSA,III-1,15.2
LAMBAYEQUE,CHICLAYO,Neoplasia maligna de la mama (Triple negativo),TECENTRIQ,Antineoplásico,HOSPITAL REGIONAL DOCENTE LAS MERCEDES,GOBIERNO REGIONAL,II-2,6.9
LIMA,LIMA,"Neoplasia maligna de la mama, parte no especificada",KADCYLA,Antineoplásico,HOSPITAL NACIONAL ARZOBISPO LOAYZA,MINSA,III-1,27.2
LAMBAYEQUE,CHICLAYO,"Neoplasia maligna de la mama, parte no especificada",KADCYLA,Antineoplásico,HOSPITAL REGIONAL DOCENTE LAS MERCEDES,GOBIERNO REGIONAL,II-2,6.9
LAMBAYEQUE,CHICLAYO,"Neoplasia maligna de la mama, parte no especificada",HERCEPTIN,Antineoplásico,CLINICAS AUNAS SEDE CHICLAYO,PRIVADO,II-E,104.9
